symbol,price,pe,peg,mcap,mcap_raw,dividend_yield,div_raw,hi52,lo52,dist_from_high,beta,fundamental_score,fetch_time,error
RELIANCE,1388.9,19.2,0.82,18.8T,18795250843648,40.00%,40.0,1611.8,1290.0,-13.8,0.22,80,2026-04-29 01:11,
SUNPHARMA,1747.3,30.9,1.04,4.2T,4192358105088,95.00%,95.0,1851.2,1548.0,-5.6,0.11,55,2026-04-29 01:11,
VEDL,739.3,9.4,,2.9T,2886819905536,458.00%,458.0,795.0,398.6,-7.0,0.74,70,2026-04-29 01:11,
HDFCBANK,782.55,12.4,0.89,12.0T,12047392702464,165.00%,165.0,1020.5,726.6,-23.3,0.49,85,2026-04-29 01:11,
ETERNAL,253.07,57.0,,2.3T,2326698393600,N/A,0,368.4,212.6,-31.3,0.25,20,2026-04-29 01:11,
ICICIBANK,1292.0,14.3,0.53,9.3T,9257347973120,84.00%,84.0,1500.0,1187.6,-13.9,0.29,95,2026-04-29 01:11,
BHARTIARTL,1843.8,27.8,,11.2T,11231455870976,88.00%,88.0,2174.5,1746.9,-15.2,0.02,43,2026-04-29 01:11,
ONGC,301.3,7.2,,3.8T,3790437875712,647.00%,647.0,302.4,228.4,-0.4,0.19,75,2026-04-29 01:11,
INFY,1152.1,14.1,2.12,4.7T,4662132473856,410.00%,409.99999999999994,1728.0,1149.8,-33.3,0.2,60,2026-04-29 01:11,
AXISBANK,1289.0,10.1,,4.0T,4006941556736,8.00%,8.0,1418.3,1042.5,-9.1,0.43,70,2026-04-29 01:11,
COALINDIA,467.0,8.2,0.87,2.9T,2877994303488,486.00%,486.00000000000006,476.0,368.6,-1.9,-0.04,95,2026-04-29 01:11,
SBIN,1091.3,11.9,0.53,10.1T,10073373933568,143.00%,143.0,1234.7,755.5,-11.6,0.46,95,2026-04-29 01:11,
TCS,2444.7,14.8,2.65,8.8T,8845138067456,257.00%,257.0,3630.5,2346.2,-32.7,0.27,60,2026-04-29 01:11,
MARUTI,12892.0,19.9,,4.1T,4053277868032,102.00%,102.0,17370.0,11741.0,-25.8,0.27,50,2026-04-29 01:11,
ADANIENT,2412.4,54.3,,3.1T,3140205150208,5.00%,5.0,2695.0,1753.0,-10.5,0.54,45,2026-04-29 01:11,
ADANIPOWER,223.35,32.7,,4.3T,4307236683776,N/A,0,224.7,101.0,-0.6,0.15,35,2026-04-29 01:11,
HINDALCO,1074.3,12.2,,2.4T,2402299412480,47.00%,47.0,1079.7,603.8,-0.5,0.8,75,2026-04-29 01:11,
M&M,3088.1,21.6,1.26,3.7T,3708074065920,82.00%,82.0,3839.9,2887.0,-19.6,0.4,58,2026-04-29 01:11,
HCLTECH,1196.0,14.9,2.39,3.2T,3235960324096,782.00%,782.0,1780.1,1192.3,-32.8,0.17,60,2026-04-29 01:11,
TATASTEEL,215.05,12.4,,2.7T,2682071023616,169.00%,169.0,218.2,138.0,-1.5,0.85,75,2026-04-29 01:11,
TATAPOWER,461.8,28.5,,1.5T,1475607789568,50.00%,50.0,464.9,342.5,-0.7,0.27,53,2026-04-29 01:11,
VBL,518.55,42.8,,1.8T,1753785040896,39.00%,39.0,543.7,381.0,-4.6,-0.01,50,2026-04-29 01:11,
LT,4037.7,26.1,1.06,5.6T,5554389909504,84.00%,84.0,4440.0,3284.1,-9.1,0.42,58,2026-04-29 01:11,
BAJFINANCE,923.65,22.9,,5.7T,5741727973376,48.00%,48.0,1102.5,787.9,-16.2,0.31,48,2026-04-29 01:12,
SHRIRAMFIN,953.25,13.7,,2.2T,2242698280960,142.00%,142.0,1108.0,566.5,-14.0,0.65,70,2026-04-29 01:12,
UNIONBANK,170.48,6.6,,1.3T,1301377056768,270.00%,270.0,205.5,114.5,-17.0,1.08,65,2026-04-29 01:12,
ULTRACEMCO,11817.0,27.0,1.22,3.5T,3476202455040,65.00%,65.0,13110.0,10325.0,-9.9,0.48,58,2026-04-29 01:12,
NESTLEIND,1440.0,60.8,,2.8T,2776772640768,85.00%,85.0,1445.1,1084.7,-0.4,0.32,50,2026-04-29 01:12,
INDIGO,4442.4,24.0,,1.7T,1717640626176,24.00%,24.0,6232.5,3895.2,-28.7,0.61,43,2026-04-29 01:12,
JIOFIN,250.81,57.1,,1.7T,1656133910528,20.00%,20.0,338.6,223.3,-25.9,0.62,35,2026-04-29 01:12,
ADANIGREEN,1249.95,40.5,,2.1T,2058887757824,N/A,0,1259.2,765.0,-0.7,0.8,35,2026-04-29 01:12,
PFC,481.4,8.2,,1.6T,1588668923904,307.00%,307.0,486.5,329.9,-1.0,0.63,75,2026-04-29 01:12,
KOTAKBANK,377.95,17.9,0.94,3.8T,3759266594816,13.00%,13.0,453.2,345.5,-16.6,0.27,75,2026-04-29 01:12,
WIPRO,201.58,14.0,1.39,2.1T,2112363560960,829.00%,828.9999999999999,273.1,186.5,-26.2,0.38,65,2026-04-29 01:12,
BEL,435.75,44.3,,3.2T,3185236246528,100.00%,100.0,473.4,304.8,-8.0,0.31,45,2026-04-29 01:12,
BPCL,307.75,7.3,0.28,1.3T,1335175151616,640.00%,640.0,391.6,266.6,-21.4,1.03,90,2026-04-29 01:12,
ADANIENSOL,1435.45,43.9,,1.7T,1724381134848,N/A,0,1463.7,744.9,-1.9,0.6,35,2026-04-29 01:12,
GRASIM,2783.0,24.7,,1.9T,1887354880000,36.00%,36.0,2979.0,2502.5,-6.6,0.24,53,2026-04-29 01:12,
HINDZINC,616.1,14.1,,2.6T,2603218894848,334.00%,334.0,733.0,398.0,-15.9,0.6,65,2026-04-29 01:12,
RECLTD,375.8,5.6,,9.9B,989565550592,614.00%,614.0,441.3,304.1,-14.8,0.33,65,2026-04-29 01:12,
ADANIPORTS,1637.6,23.9,,3.8T,3772963356672,43.00%,43.0,1649.9,1202.5,-0.7,0.33,58,2026-04-29 01:12,
EICHERMOT,7071.5,30.7,,1.9T,1939812909056,98.00%,98.0,8230.0,5219.5,-14.1,0.27,45,2026-04-29 01:12,
ITC,304.45,18.2,1.78,3.8T,3814596804608,472.00%,472.0,444.2,287.0,-31.5,-0.12,50,2026-04-29 01:12,
TRENT,4253.9,57.0,,1.5T,1512208072704,12.00%,12.0,6261.0,3275.5,-32.1,0.21,35,2026-04-29 01:12,
HINDUNILVR,2289.5,46.6,3.69,5.4T,5379389390848,185.00%,185.0,2750.0,2022.5,-16.7,0.36,40,2026-04-29 01:12,
BANKBARODA,267.83,6.9,,1.4T,1385045950464,305.00%,305.0,325.5,212.6,-17.7,0.47,65,2026-04-29 01:12,
HDFCLIFE,590.15,47.8,,1.3T,1273118720000,35.00%,35.0,820.8,555.1,-28.1,0.58,35,2026-04-29 01:12,
LODHA,882.9,18.7,,8.8B,881942200320,48.00%,48.0,1531.0,650.8,-42.3,0.38,45,2026-04-29 01:12,
NTPC,406.85,15.1,,3.9T,3945088942080,277.00%,277.0,414.4,315.6,-1.8,0.3,65,2026-04-29 01:12,
DRREDDY,1354.6,24.7,3.85,1.1T,1127832879104,60.00%,60.0,1379.7,1129.4,-1.8,0.3,58,2026-04-29 01:12,
CANBK,137.1,6.5,,1.2T,1243586363392,285.00%,285.0,162.9,91.0,-15.8,0.56,65,2026-04-29 01:12,
HDFCAMC,2760.2,31.5,,1.2T,1182658199552,163.00%,163.0,2967.2,2087.5,-7.0,0.47,45,2026-04-29 01:12,
POWERGRID,319.0,17.2,,3.0T,2966892576768,382.00%,382.0,324.9,250.0,-1.8,0.22,65,2026-04-29 01:12,
TECHM,1408.1,16.5,1.86,1.2T,1247671877632,365.00%,365.0,1854.0,1304.1,-24.1,0.14,55,2026-04-29 01:12,
HYUNDAI,1825.2,23.3,,1.5T,1483050057728,114.00%,113.99999999999999,2890.0,1658.0,-36.8,,43,2026-04-29 01:12,
TITAN,4417.0,62.6,,3.9T,3918078935040,25.00%,25.0,4554.0,3245.5,-3.0,0.23,50,2026-04-29 01:12,
APOLLOHOSP,7753.0,46.5,,1.1T,1114762379264,26.00%,26.0,8099.5,6677.5,-4.3,0.18,50,2026-04-29 01:12,
